strip,filename,box_size,x,y
0,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,208,1652
1,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,900,1416
2,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1048,1108
3,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1220,1536
4,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,572,664
5,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1020,568
6,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1256,772
7,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1792,632
8,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1812,892
9,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1692,1296
10,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,924,1172
11,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,240,1832
12,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1188,1004
13,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1264,1484
14,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,552,1680
15,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,900,1416
16,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1048,532
17,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1744,1268
18,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,968,1384
19,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1804,860
20,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,1852,340
21,./images/raw_images/2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,200,1116,660
